Input,output,output2,portal
"DESIGN TECHNOLOGY-D-FD""",Design Technology-D-FD,"DESIGN TECHNOLOGY-D-FD""",
BCA-OBJECT ORIENTED PROGRAMMING,BCA-Object Oriented Programming,BCA-OBJECT ORIENTED PROGRAMMING,
ENGLISH - CLASS 8,English - Class 8,ENGLISH - CLASS 8,
MACHINE LEARNING CONCEPTS - AI,Machine Learning Concepts - AI,MACHINE LEARNING CONCEPTS - AI,
Artificial Intelligence - A,Artificial Intelligence,Artificial Intelligence - A,https://esscisamsung-portal-stg.ken42.com/
2022-Artificial Intelligence-Term 1,Artificial Intelligence,2022-Artificial Intelligence-Term 1,https://esscisamsung-portal-stg.ken42.com/
English-Class 6-ICSE - A,English-Class 6-ICSE,English-Class 6-ICSE - A,https://portal-demo.ken42.com/
Bachelor's in Computer Application,Bachelor's in Computer Application,Bachelor's in Computer Application,
2022-Class 6-ICSE,Class 6 - ICSE,2022-Class 6-ICSE,https://portal-demo.ken42.com/
Maths-Class 6-ICSE - A,Maths-Class 6-ICSE,Maths-Class 6-ICSE - A,https://portal-demo.ken42.com/
UG - Fashion Design (IC)-HKV,UG - Fashion Design (IC)-HKV,UG - Fashion Design (IC)-HKV,
Managerial Economics - A,Managerial Economics,Managerial Economics - A,https://nsom-portal-stg.ken42.com/
2022-23-PGDM-Core-Sem-3,PGDM,2022-23-PGDM-Core-Sem-3,https://nsom-portal-stg.ken42.com/
Electrician - A,Electrician,Electrician - A,https://ltpct-stg-portal.ken42.com/
2022-Electrician,Electrician,2022-Electrician,https://ltpct-stg-portal.ken42.com/
2022-BCA-SEM 1,Bachelors in Computer Application,2022-BCA-SEM 1,https://portal-dev.ken42.com/
Data Structures - BCA - A,Data Structures - BCA,Data Structures - BCA - A,https://portal-dev.ken42.com/
2022-Class 5-SBMP-Sem 1,Class 5,2022-Class 5-SBMP-Sem 1,https://sbmppsjal-stg-portal.ken42.com/
English-Class 5 - A,English-Class 5,English-Class 5 - A,https://sbmppsjal-stg-portal.ken42.com/
2020-UG FDSU-HKV-SEMESTER II,UG - Fashion Design (IC)-HKV,2020-UG FDSU-HKV-SEMESTER II,https://jdinstitutedelhi-beta-stg-portal.ken42.com/
Garment Manufacturing (Basics)-HKV-UG - Fashion Design (IC)-HKV - Group A,Garment Manufacturing (Basics)-HKV-UG - Fashion Design (IC)-HKV,Garment Manufacturing (Basics)-HKV-UG - Fashion Design (IC)-HKV - Group A,https://jdinstitutedelhi-beta-stg-portal.ken42.com/
2022-JUL-Auto Mechanic,Auto Mechanic,2022-JUL-Auto Mechanic,https://ltsta-portal-stg.ken42.com/
Auto Mechanic - 2,Auto Mechanic,Auto Mechanic - 2,https://ltsta-portal-stg.ken42.com/
2022-JUL-Electrician,Electrician,2022-JUL-Electrician,https://ltsta-portal-stg.ken42.com/
Electrician - A,Electrician,Electrician - A,https://ltsta-portal-stg.ken42.com/
2020-UG FD-HKV-SEMESTER 1,UG - Fashion Design-HKV,2020-UG FD-HKV-SEMESTER 1,https://jdinstitutedelhi-beta-stg-portal.ken42.com/
Concept of Fashion-HKV-UG - Fashion Design-HKV - Group A,Concept of Fashion-HKV-UG - Fashion Design-HKV,Concept of Fashion-HKV-UG - Fashion Design-HKV - Group A,https://jdinstitutedelhi-beta-stg-portal.ken42.com/
2020-RM-Trimester 4,Retail Management,2020-RM-Trimester 4,https://bimtech-stg-portal.ken42.com/
Sales & Distribution Management-20-22-Retail Management - A,Sales & Distribution Management-20-22-Retail Management,Sales & Distribution Management-20-22-Retail Management - A,https://bimtech-stg-portal.ken42.com/
Art and Craft-Class 6-ICSE - A,,Art and Craft-Class 6-ICSE - A,https://portal-demo.ken42.com/
2022-Artificial Intelligence-Term 1,Artificial Intelligence,2022-Artificial Intelligence-Term 1,https://academics-ecampus.essc-india.org/
Artificial Intelligence - Master Course,Artificial Intelligence,Artificial Intelligence - Master Course,https://academics-ecampus.essc-india.org/
Artificial Intelligence - LU-AI-Batch-1,Artificial Intelligence,Artificial Intelligence - LU-AI-Batch-1,
2022-Diploma-Fashion Design-Sem 1,Diploma-Fashion Design,2022-Diploma-Fashion Design-Sem 1,https://jdinstitutedelhi-beta-stg-portal.ken42.com/
Design Technology-D-FD - A,Design Technology-D-FD,Design Technology-D-FD - A,https://jdinstitutedelhi-beta-stg-portal.ken42.com/
Computer-Class 6-ICSE - A,Computer-Class 6-ICSE,Computer-Class 6-ICSE - A,https://portal-demo.ken42.com/
2021-23-PGDM-Sem 3,PGDM,2021-23-PGDM-Sem 3,https://nsom-portal-stg.ken42.com/
